step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
240,7.57031250,7.57031250,0.00000000e+00,253.87500000,248.00000000,5.87500000e+00
241,5.19531250,5.16796875,2.73437500e-02,285.25000000,289.00000000,3.75000000e+00
242,6.20312500,6.19140625,1.17187500e-02,-382.75000000,-382.75000000,0.00000000e+00
243,5.92187500,5.92968750,7.81250000e-03,136.75000000,140.62500000,3.87500000e+00
244,5.52343750,5.49218750,3.12500000e-02,-70.31250000,-82.00000000,1.16875000e+01
245,5.71093750,5.71093750,0.00000000e+00,-72.25000000,-76.18750000,3.93750000e+00
246,7.30859375,7.29687500,1.17187500e-02,97.62500000,93.75000000,3.87500000e+00
247,7.14843750,7.13281250,1.56250000e-02,-105.43750000,-99.62500000,5.81250000e+00
248,5.96875000,5.96093750,7.81250000e-03,214.87500000,214.87500000,0.00000000e+00
249,6.85937500,6.84375000,1.56250000e-02,-355.50000000,-357.50000000,2.00000000e+00
250,5.00000000,4.98437500,1.56250000e-02,-54.68750000,-54.68750000,0.00000000e+00
251,5.16406250,5.14453125,1.95312500e-02,74.18750000,76.18750000,2.00000000e+00
252,6.09375000,6.09375000,0.00000000e+00,3.90625000,7.81250000,3.90625000e+00
253,5.51171875,5.48828125,2.34375000e-02,-23.43750000,-21.48437500,1.95312500e+00
254,4.70312500,4.67968750,2.34375000e-02,-199.25000000,-197.25000000,2.00000000e+00
255,4.57031250,4.55468750,1.56250000e-02,-175.75000000,-171.87500000,3.87500000e+00
256,5.61718750,5.58203125,3.51562500e-02,13.67187500,1.95312500,1.17187500e+01
257,7.21093750,7.19531250,1.56250000e-02,-132.75000000,-134.75000000,2.00000000e+00
258,5.67578125,5.67968750,3.90625000e-03,-50.78125000,-48.81250000,1.96875000e+00
259,6.42187500,6.43750000,1.56250000e-02,-89.81250000,-82.00000000,7.81250000e+00
260,7.75781250,7.75000000,7.81250000e-03,-125.00000000,-117.18750000,7.81250000e+00
261,5.45312500,5.43750000,1.56250000e-02,-117.18750000,-117.18750000,0.00000000e+00
262,6.49609375,6.46875000,2.73437500e-02,-5.85937500,-9.76562500,3.90625000e+00
263,6.80468750,6.78125000,2.34375000e-02,-82.00000000,-82.00000000,0.00000000e+00
264,6.58593750,6.55468750,3.12500000e-02,66.37500000,62.50000000,3.87500000e+00
265,7.44140625,7.45312500,1.17187500e-02,-154.25000000,-152.37500000,1.87500000e+00
266,4.75000000,4.73437500,1.56250000e-02,-312.50000000,-312.50000000,0.00000000e+00
267,4.57421875,4.55468750,1.95312500e-02,-56.62500000,-54.68750000,1.93750000e+00
268,5.68359375,5.66406250,1.95312500e-02,-224.62500000,-224.62500000,0.00000000e+00
269,5.86328125,5.87109375,7.81250000e-03,-388.75000000,-384.75000000,4.00000000e+00
270,4.79687500,4.76953125,2.73437500e-02,-125.00000000,-126.93750000,1.93750000e+00
271,4.38671875,4.37890625,7.81250000e-03,242.12500000,246.12500000,4.00000000e+00
272,5.90625000,5.91796875,1.17187500e-02,23.43750000,25.39062500,1.95312500e+00
273,5.97656250,5.96875000,7.81250000e-03,5.85937500,9.76562500,3.90625000e+00
274,6.53125000,6.52734375,3.90625000e-03,39.06250000,41.00000000,1.93750000e+00
275,5.66796875,5.64843750,1.95312500e-02,-111.31250000,-113.25000000,1.93750000e+00
276,9.10937500,9.10937500,0.00000000e+00,-269.50000000,-269.50000000,0.00000000e+00
277,7.73437500,7.75000000,1.56250000e-02,-15.62500000,-15.62500000,0.00000000e+00
278,4.76562500,4.74609375,1.95312500e-02,207.00000000,205.12500000,1.87500000e+00
279,4.43359375,4.42187500,1.17187500e-02,-238.25000000,-234.37500000,3.87500000e+00
280,4.95312500,4.92968750,2.34375000e-02,60.53125000,58.59375000,1.93750000e+00
281,6.49218750,6.47656250,1.56250000e-02,236.37500000,230.50000000,5.87500000e+00
282,8.18750000,8.19531250,7.81250000e-03,207.00000000,207.00000000,0.00000000e+00
283,6.88671875,6.87890625,7.81250000e-03,365.25000000,373.00000000,7.75000000e+00
284,6.94921875,6.96093750,1.17187500e-02,-248.00000000,-246.12500000,1.87500000e+00
285,5.70703125,5.68359375,2.34375000e-02,166.00000000,166.00000000,0.00000000e+00
286,7.05468750,7.05468750,0.00000000e+00,-386.75000000,-388.75000000,2.00000000e+00
287,5.14843750,5.12500000,2.34375000e-02,-168.00000000,-169.87500000,1.87500000e+00
288,7.64062500,7.65625000,1.56250000e-02,-27.34375000,-19.53125000,7.81250000e+00
289,6.77734375,6.78125000,3.90625000e-03,76.18750000,74.18750000,2.00000000e+00
290,7.08593750,7.10156250,1.56250000e-02,-70.31250000,-66.37500000,3.93750000e+00
291,4.91406250,4.89843750,1.56250000e-02,132.75000000,132.75000000,0.00000000e+00
