================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  zo_perturb_+eps_reset         0.06%      39.662ms         0.18%     116.103ms      23.221ms       0.000us         0.00%      22.404ms       4.481ms           0 b       6.81 Kb    -911.00 Kb     -11.66 Gb             5            --  
                                        training_step_4         0.00%     517.000us        19.40%       12.545s       12.545s       0.000us         0.00%      21.057ms      21.057ms           0 b           0 b      16.80 Mb           0 b             1            --  
                                        training_step_6         0.00%     554.000us        19.57%       12.657s       12.657s       0.000us         0.00%      21.014ms      21.014ms           0 b           0 b      -4.00 Mb           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      18.291ms         0.06%      18.291ms       2.356us           0 b           0 b           0 b           0 b          7765            --  
                                    zo_parameter_update         0.00%     944.000us         0.15%      94.809ms      18.962ms       0.000us         0.00%      18.196ms       3.639ms           0 b           0 b      -1.70 Mb     -10.00 Kb             5            --  
                                              zo_update         0.05%      33.479ms         0.15%      93.865ms      18.773ms       0.000us         0.00%      18.196ms       3.639ms           0 b       2.48 Kb      -1.69 Mb      -8.89 Gb             5            --  
                                  Torch-Compiled Region         0.06%      39.315ms         0.14%      91.154ms       9.115ms       0.000us         0.00%      17.553ms       1.755ms           0 b           0 b     242.15 Mb     242.15 Mb            10            --  
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us      16.376ms         0.05%      16.376ms       6.131us           0 b           0 b           0 b           0 b          2671            --  
                                              aten::add         1.12%     722.979ms         1.59%        1.030s      92.053us      13.720ms         0.04%      14.623ms       1.307us      -4.22 Kb        -648 b       9.28 Gb       9.28 Gb         11190         5.601  
                                           zo_forward_2         0.01%       5.171ms         0.08%      49.552ms       9.910ms       0.000us         0.00%       9.666ms       1.933ms           0 b         -32 b      60.99 Mb    -169.72 Mb             5            --  
                                       cudaLaunchKernel         0.17%     110.520ms         0.17%     110.520ms       3.255us       9.063ms         0.03%       9.131ms       0.269us           0 b           0 b           0 b           0 b         33957            --  
                                  cudaStreamIsCapturing         0.01%       8.078ms         0.01%       8.078ms       0.278us       5.346ms         0.02%       5.346ms       0.184us         -48 b         -48 b           0 b           0 b         29008            --  
                                              aten::sub         0.23%     151.288ms         0.39%     255.359ms      76.181us       4.591ms         0.01%       4.791ms       1.429us        -712 b        -516 b       3.09 Gb       3.09 Gb          3352            --  
                                              aten::cat         0.01%       9.015ms         0.02%      14.084ms      20.958us       1.991ms         0.01%       3.615ms       5.379us           0 b           0 b     168.00 Mb     168.00 Mb           672            --  
void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.323ms         0.01%       2.323ms       9.679us           0 b           0 b           0 b           0 b           240            --  
                                        aten::new_zeros         0.01%       4.111ms         0.04%      23.309ms      34.686us       0.000us         0.00%       2.262ms       3.366us           0 b           0 b       5.25 Mb    -176.00 Kb           672            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.991ms         0.01%       1.991ms       2.963us           0 b           0 b           0 b           0 b           672            --  
                                  cudaFuncGetAttributes         0.01%       5.570ms         0.01%       5.570ms       1.973us       1.972ms         0.01%       1.972ms       0.699us           0 b           0 b           0 b           0 b          2823            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 64.679s
Self CUDA time total: 33.081s


--- Memory Usage ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         0.55%     357.617ms         0.86%     554.666ms      34.024us      26.630ms         0.08%      28.766ms       1.765us     -24.19 Kb     -23.02 Kb      21.66 Gb      21.66 Gb         16302        11.942  
                                            aten::empty         0.15%      99.432ms         0.16%     101.037ms       4.053us       0.000us         0.00%       0.000us       0.000us     102.33 Kb     102.33 Kb      12.96 Gb      12.96 Gb         24931            --  
                                              aten::add         1.12%     722.979ms         1.59%        1.030s      92.053us      13.720ms         0.04%      14.623ms       1.307us      -4.22 Kb        -648 b       9.28 Gb       9.28 Gb         11190         5.601  
                                              aten::sub         0.23%     151.288ms         0.39%     255.359ms      76.181us       4.591ms         0.01%       4.791ms       1.429us        -712 b        -516 b       3.09 Gb       3.09 Gb          3352            --  
                                  Torch-Compiled Region         0.06%      39.315ms         0.14%      91.154ms       9.115ms       0.000us         0.00%      17.553ms       1.755ms           0 b           0 b     242.15 Mb     242.15 Mb            10            --  
                                               aten::mm         0.69%     446.182ms         1.95%        1.262s     224.517us      22.058ms         0.07%      26.211ms       4.663us           0 b           0 b     207.39 Mb     207.39 Mb          5621      2738.485  
                                              aten::cat         0.01%       9.015ms         0.02%      14.084ms      20.958us       1.991ms         0.01%       3.615ms       5.379us           0 b           0 b     168.00 Mb     168.00 Mb           672            --  
                                     aten::_log_softmax         0.00%     117.000us         0.00%     199.000us      19.900us     153.000us         0.00%     154.000us      15.400us           0 b           0 b     118.96 Mb     118.96 Mb            10            --  
                                      aten::log_softmax         0.00%      92.000us         0.00%     257.000us      25.700us       0.000us         0.00%     119.000us      11.900us           0 b           0 b     118.96 Mb      30.30 Mb            10            --  
                                       aten::contiguous         0.26%     168.870ms         0.69%     445.076ms     404.615us       0.000us         0.00%     145.000us       0.132us           0 b           0 b     118.15 Mb      21.87 Mb          1100            --  
                                    aten::empty_strided         1.31%     849.557ms         1.36%     877.239ms       7.204us       0.000us         0.00%       0.000us       0.000us      23.42 Mb      23.42 Mb       1.95 Mb       1.95 Mb        121769            --  
