================================================================================
DiZO PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::_log_softmax         0.00%     120.000us         0.00%     200.000us      20.000us     152.000us         0.00%     154.000us      15.400us           0 b           0 b     118.49 Mb     118.49 Mb            10            --  
                                       aten::contiguous         0.26%     219.442ms         0.68%     585.568ms     401.074us       0.000us         0.00%     216.000us       0.148us           0 b           0 b     118.15 Mb      39.89 Mb          1460            --  
                                    aten::empty_strided         1.30%        1.120s         1.34%        1.156s       7.188us       0.000us         0.00%       0.000us       0.000us      30.62 Mb      30.62 Mb     881.00 Kb     881.00 Kb        160790            --  
                                               aten::eq         0.01%       7.206ms         0.01%      10.963ms      21.926us     631.000us         0.00%       1.355ms       2.710us           0 b           0 b     446.00 Kb     446.00 Kb           500            --  
                                              aten::all         0.01%       5.960ms         0.02%      13.579ms      27.712us     432.000us         0.00%       1.670ms       3.408us           0 b           0 b     245.00 Kb     245.00 Kb           490            --  
                                          aten::resize_         0.00%     220.000us         0.00%     220.000us       7.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     114.50 Kb     114.50 Kb            30            --  
                                       aten::empty_like         0.02%      18.584ms         0.04%      37.602ms       5.000us       0.000us         0.00%       0.000us       0.000us     107.75 Kb      27.05 Kb     118.70 Mb      19.00 Kb          7520            --  
                                 aten::nll_loss_forward         0.00%     150.000us         0.00%     221.000us      22.100us      32.000us         0.00%      32.000us       3.200us           0 b           0 b      10.00 Kb      10.00 Kb            10            --  
                                               aten::to         0.83%     710.609ms         5.62%        4.835s     344.114us       0.000us         0.00%     424.000us       0.030us        -116 b        -116 b     230.50 Kb       7.50 Kb         14050            --  
                                               aten::lt         0.01%       6.858ms         0.02%      16.366ms     467.600us      14.000us         0.00%      14.000us       0.400us           0 b           0 b       6.50 Kb       6.50 Kb            35            --  
