================================================================================
DiZO PROFILING SUMMARY - facebook/opt-13b
================================================================================

Model: facebook/opt-13b
Task: SST2
Batch Size: 1
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::bmm         0.61%      12.078ms         0.82%      16.425ms      20.531us       2.728ms         0.08%       2.728ms       3.410us           0 b           0 b      75.39 Mb      75.39 Mb           800         3.018  
                                       aten::contiguous         0.13%       2.645ms         1.14%      22.808ms      19.007us       0.000us         0.00%       2.648ms       2.207us           0 b           0 b     192.19 Mb      21.63 Mb          1200            --  
                                          aten::maximum         0.17%       3.345ms         0.27%       5.465ms      13.662us       1.599ms         0.04%       1.599ms       3.998us           0 b           0 b      11.33 Mb      11.33 Mb           400            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.599ms         0.04%       1.599ms       3.998us           0 b           0 b           0 b           0 b           400            --  
                                              aten::max         0.04%     831.000us         0.30%       6.020ms      15.050us       0.000us         0.00%       1.529ms       3.822us           0 b           0 b      11.33 Mb     437.00 Kb           400            --  
                                           aten::matmul         0.01%     180.000us         0.05%     987.000us      98.700us       0.000us         0.00%       1.310ms     131.000us           0 b           0 b      15.73 Mb           0 b            10            --  
                                               aten::mm         0.02%     426.000us         0.04%     801.000us      80.100us       1.310ms         0.04%       1.310ms     131.000us           0 b           0 b      15.73 Mb      15.73 Mb            10        84.425  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.093ms         0.03%       1.093ms       2.732us           0 b           0 b           0 b           0 b           400            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us       1.010ms         0.03%       1.010ms     126.250us           0 b           0 b           0 b           0 b             8            --  
                                          aten::reshape         0.17%       3.425ms         0.58%      11.591ms       4.770us       0.000us         0.00%     925.000us       0.381us           0 b           0 b      64.06 Mb           0 b          2430            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     844.000us         0.02%     844.000us       2.059us           0 b           0 b           0 b           0 b           410            --  
                                               aten::to         0.07%       1.453ms        17.78%     354.462ms     389.519us       0.000us         0.00%     824.000us       0.905us        -256 b        -152 b      11.57 Mb     411.50 Kb           910            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.994s
Self CUDA time total: 3.597s


--- Memory Usage ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         6.69%     133.362ms        17.67%     352.313ms      15.351us     560.212ms        15.57%     560.212ms      24.410us     -28.09 Kb     -28.09 Kb     836.89 Gb     836.89 Gb         22950       449.905  
                                            aten::empty         2.66%      53.018ms         2.66%      53.018ms       3.049us       0.000us         0.00%       0.000us       0.000us       1.83 Kb       1.83 Kb     479.21 Gb     479.21 Gb         17390            --  
                                              aten::add         3.44%      68.513ms         7.17%     142.880ms      13.120us     284.846ms         7.92%     284.846ms      26.157us         -16 b         -16 b     357.89 Gb     357.89 Gb         10890       192.876  
                                              aten::sub         0.92%      18.288ms         4.30%      85.831ms      26.450us      94.342ms         2.62%      94.342ms      29.073us        -168 b        -168 b     116.44 Gb     116.44 Gb          3245            --  
                                            aten::addmm         2.92%      58.159ms         3.97%      79.128ms      32.970us      79.312ms         2.21%      79.312ms      33.047us           0 b           0 b     576.56 Mb     576.56 Mb          2400      4127.195  
                                        aten::clamp_min         0.19%       3.842ms         0.28%       5.619ms      14.047us     799.000us         0.02%     799.000us       1.998us           0 b           0 b     256.25 Mb     256.25 Mb           400            --  
                                              aten::bmm         0.61%      12.078ms         0.82%      16.425ms      20.531us       2.728ms         0.08%       2.728ms       3.410us           0 b           0 b      75.39 Mb      75.39 Mb           800         3.018  
                                       aten::empty_like         0.17%       3.400ms         0.43%       8.621ms       5.322us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     256.27 Mb      30.79 Mb          1620            --  
                                         aten::_softmax         0.14%       2.867ms         0.21%       4.252ms      10.630us     725.000us         0.02%     725.000us       1.812us           0 b           0 b      22.58 Mb      22.58 Mb           400            --  
                                       aten::contiguous         0.13%       2.645ms         1.14%      22.808ms      19.007us       0.000us         0.00%       2.648ms       2.207us           0 b           0 b     192.19 Mb      21.63 Mb          1200            --  
                                               aten::mm         0.02%     426.000us         0.04%     801.000us      80.100us       1.310ms         0.04%       1.310ms     131.000us           0 b           0 b      15.73 Mb      15.73 Mb            10        84.425  
                                     aten::_log_softmax         0.01%     122.000us         0.01%     182.000us      18.200us     129.000us         0.00%     129.000us      12.900us           0 b           0 b      14.84 Mb      14.84 Mb            10            --  
                                    aten::empty_strided         0.16%       3.247ms         0.16%       3.247ms       3.732us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      11.57 Mb      11.57 Mb           870            --  
                                          aten::maximum         0.17%       3.345ms         0.27%       5.465ms      13.662us       1.599ms         0.04%       1.599ms       3.998us           0 b           0 b      11.33 Mb      11.33 Mb           400            --  
                                      aten::log_softmax         0.01%     101.000us         0.01%     262.000us      26.200us       0.000us         0.00%     103.000us      10.300us           0 b           0 b      14.84 Mb       4.67 Mb            10            --  
                                          aten::resize_         0.01%     143.000us         0.01%     143.000us       3.575us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.21 Mb       3.21 Mb            40            --  
                                           aten::linear         0.91%      18.098ms         5.51%     109.852ms      45.582us       0.000us         0.00%      80.100ms      33.237us           0 b           0 b     592.29 Mb       2.43 Mb          2410            --  
                                              aten::max         0.04%     831.000us         0.30%       6.020ms      15.050us       0.000us         0.00%       1.529ms       3.822us           0 b           0 b      11.33 Mb     437.00 Kb           400            --  
                                               aten::to         0.07%       1.453ms        17.78%     354.462ms     389.519us       0.000us         0.00%     824.000us       0.905us        -256 b        -152 b      11.57 Mb     411.50 Kb           910            --  
                                          aten::softmax         0.03%     660.000us         0.24%       4.826ms      12.065us       0.000us         0.00%     713.000us       1.782us           0 b           0 b      22.58 Mb     364.50 Kb           400            --  
                                 aten::nll_loss_forward         0.01%     158.000us         0.01%     215.000us      21.500us      14.000us         0.00%      14.000us       1.400us           0 b           0 b      10.00 Kb      10.00 Kb            10            --  
                                               aten::lt         0.01%     158.000us         0.01%     211.000us      21.100us      18.000us         0.00%      18.000us       1.800us           0 b           0 b       7.00 Kb       7.00 Kb            10            --  
                                           aten::cumsum         0.01%     268.000us         0.02%     407.000us      40.700us      18.000us         0.00%      18.000us       1.800us           0 b           0 b       5.00 Kb       5.00 Kb            10            --  
                                               aten::eq         0.01%     215.000us         0.01%     286.000us      28.600us      10.000us         0.00%      10.000us       1.000us           0 b           0 b       5.00 Kb       5.00 Kb            10            --  
                                              aten::div         0.00%      71.000us         0.00%      97.000us      19.400us       5.000us         0.00%       5.000us       1.000us          -8 b          -8 b       2.50 Kb       2.50 Kb             5            --  
