================================================================================
DiZO PROFILING SUMMARY - facebook/opt-13b
================================================================================

Model: facebook/opt-13b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::matmul         0.01%     120.000us         0.04%     786.000us      78.600us       0.000us         0.00%       1.492ms     149.200us           0 b           0 b      75.16 Mb           0 b            10            --  
                                               aten::mm         0.02%     444.000us         0.03%     646.000us      64.600us       1.492ms         0.04%       1.492ms     149.200us           0 b           0 b      75.16 Mb      75.16 Mb            10       399.473  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us       1.492ms         0.04%       1.492ms     149.200us           0 b           0 b           0 b           0 b            10            --  
                                             aten::relu         0.05%       1.057ms         0.38%       7.801ms      19.503us       0.000us         0.00%       1.294ms       3.235us           0 b           0 b       1.19 Gb           0 b           400            --  
                                        aten::clamp_min         0.17%       3.482ms         0.33%       6.744ms      16.860us       1.294ms         0.04%       1.294ms       3.235us           0 b           0 b       1.19 Gb       1.19 Gb           400            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.036s
Self CUDA time total: 3.649s


--- Memory Usage ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         6.42%     130.797ms        17.22%     350.596ms      15.277us     559.659ms        15.34%     559.659ms      24.386us     -29.36 Kb     -29.36 Kb     837.61 Gb     837.61 Gb         22950       450.030  
                                            aten::empty         2.92%      59.538ms         2.92%      59.538ms       3.420us       0.000us         0.00%       0.000us       0.000us       5.03 Kb       5.03 Kb     480.71 Gb     480.71 Gb         17410            --  
                                              aten::add         3.24%      65.899ms         6.81%     138.626ms      12.730us     285.271ms         7.82%     285.271ms      26.196us         -40 b         -40 b     359.35 Gb     359.35 Gb         10890       193.150  
                                              aten::sub         0.84%      17.145ms         4.17%      84.815ms      26.137us      94.306ms         2.58%      94.306ms      29.062us          -8 b          -8 b     118.29 Gb     118.29 Gb          3245            --  
                                            aten::addmm         3.02%      61.527ms         4.44%      90.494ms      37.706us      87.560ms         2.40%      87.560ms      36.483us           0 b           0 b       2.67 Gb       2.67 Gb          2400     19528.679  
                                        aten::clamp_min         0.17%       3.482ms         0.33%       6.744ms      16.860us       1.294ms         0.04%       1.294ms       3.235us           0 b           0 b       1.19 Gb       1.19 Gb           400            --  
                                              aten::bmm         0.64%      12.988ms         3.73%      76.000ms      95.000us       2.721ms         0.07%       2.721ms       3.401us           0 b           0 b     353.95 Mb     353.95 Mb           800        13.507  
                                       aten::empty_like         0.18%       3.616ms         0.43%       8.719ms       5.316us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.26 Gb     160.77 Mb          1640            --  
                                       aten::contiguous         0.17%       3.492ms         1.12%      22.865ms      18.742us       0.000us         0.00%       3.344ms       2.741us           0 b           0 b     985.38 Mb     153.23 Mb          1220            --  
                                         aten::_softmax         0.13%       2.725ms         0.20%       4.064ms      10.160us     800.000us         0.02%     800.000us       2.000us           0 b           0 b     100.66 Mb     100.66 Mb           400            --  
                                               aten::mm         0.02%     444.000us         0.03%     646.000us      64.600us       1.492ms         0.04%       1.492ms     149.200us           0 b           0 b      75.16 Mb      75.16 Mb            10       399.473  
                                     aten::_log_softmax         0.01%     106.000us         0.01%     159.000us      15.900us     109.000us         0.00%     109.000us      10.900us           0 b           0 b      70.57 Mb      70.57 Mb            10            --  
                                    aten::empty_strided         0.15%       3.153ms         0.15%       3.153ms       3.624us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      50.65 Mb      50.65 Mb           870            --  
                                          aten::maximum         0.16%       3.325ms         0.26%       5.220ms      13.050us       1.605ms         0.04%       1.605ms       4.013us           0 b           0 b      50.35 Mb      50.35 Mb           400            --  
                                          aten::resize_         0.01%     138.000us         0.01%     138.000us       3.450us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      17.42 Mb      17.42 Mb            40            --  
                                           aten::linear         0.88%      17.949ms         5.94%     120.966ms      50.193us       0.000us         0.00%      88.484ms      36.715us           0 b           0 b       2.75 Gb      13.27 Mb          2410            --  
                                              aten::max         0.05%     927.000us         0.28%       5.737ms      14.342us       0.000us         0.00%       1.501ms       3.752us           0 b           0 b      50.35 Mb       3.28 Mb           400            --  
                                               aten::to         0.08%       1.588ms        15.96%     324.977ms     357.118us       0.000us         0.00%       1.072ms       1.178us        -188 b        -124 b      49.94 Mb       2.54 Mb           910            --  
                                          aten::softmax         0.04%     725.000us         0.23%       4.749ms      11.873us       0.000us         0.00%     794.000us       1.985us           0 b           0 b     100.66 Mb     722.50 Kb           400            --  
                                 aten::nll_loss_forward         0.01%     131.000us         0.01%     183.000us      18.300us      22.000us         0.00%      22.000us       2.200us           0 b           0 b       9.50 Kb       9.50 Kb            10            --  
                                           aten::cumsum         0.01%     129.000us         0.01%     177.000us      17.700us      18.000us         0.00%      18.000us       1.800us           0 b           0 b       8.00 Kb       8.00 Kb            10            --  
                                               aten::lt         0.01%     140.000us         0.01%     197.000us      19.700us      21.000us         0.00%      21.000us       2.100us           0 b           0 b       7.00 Kb       7.00 Kb            10            --  
                                               aten::eq         0.01%     171.000us         0.09%       1.888ms     188.800us      10.000us         0.00%      10.000us       1.000us           0 b           0 b       5.00 Kb       5.00 Kb            10            --  
                                              aten::div         0.00%      59.000us         0.00%      84.000us      16.800us       5.000us         0.00%       5.000us       1.000us           0 b           0 b       2.50 Kb       2.50 Kb             5            --  
                                           aten::arange         0.01%     190.000us         0.02%     421.000us      21.050us       5.000us         0.00%       9.000us       0.450us           0 b           0 b      10.00 Kb       1.50 Kb            20            --  
                                      aten::nll_loss_nd         0.00%      72.000us         0.01%     299.000us      29.900us       0.000us         0.00%      18.000us       1.800us           0 b           0 b       6.50 Kb       1.50 Kb            10            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     567.780ms        15.56%     567.780ms      24.398us           0 b           0 b           0 b           0 b         23272            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     387.972ms        10.63%     387.972ms      27.659us           0 b           0 b           0 b           0 b         14027            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     589.872ms        16.17%     589.872ms      44.650us           0 b           0 b           0 b           0 b         13211            --  
