================================================================================
BASELINE ADAMW PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Max Length: 512
Steps: 5
Dtype: float16
torch.compile: True

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::nll_loss_backward         0.01%     301.000us         0.03%     895.000us     179.000us       9.000us         0.00%      34.000us       6.800us           0 b           0 b      67.50 Mb      67.50 Mb             5            --  
                                         SliceBackward0         0.00%      90.000us         0.05%       1.211ms     121.100us       0.000us         0.00%     121.000us      12.100us           0 b           0 b     140.05 Mb      21.48 Mb            10            --  
                                          aten::resize_         0.01%     150.000us         0.01%     150.000us       0.815us       0.000us         0.00%       0.000us       0.000us      14.48 Kb      14.48 Kb       7.29 Mb       7.29 Mb           184            --  
                                              aten::add         0.30%       7.929ms         0.36%       9.450ms     286.364us      14.000us         0.00%      14.000us       0.424us        -120 b         -24 b       5.81 Mb       5.81 Mb            33   1524167.000  
                                               aten::eq         0.04%     977.000us         0.05%       1.436ms      23.541us      78.000us         0.00%     393.000us       6.443us           0 b           0 b      37.50 Kb      37.50 Kb            61            --  
                                              aten::all         0.04%       1.023ms         0.06%       1.654ms      26.677us      98.000us         0.00%     205.000us       3.306us         -12 b         -12 b      28.00 Kb      28.00 Kb            62            --  
                                 aten::nll_loss_forward         0.00%      86.000us         0.00%     115.000us      23.000us      10.000us         0.00%      10.000us       2.000us           0 b           0 b       5.00 Kb       5.00 Kb             5            --  
                                               aten::lt         0.24%       6.266ms         0.57%      15.181ms      80.750us       7.000us         0.00%       7.000us       0.037us         756 b          87 b       2.50 Kb       2.50 Kb           188            --  
                                       aten::contiguous         0.00%      50.000us         0.01%     322.000us      32.200us       0.000us         0.00%      58.000us       5.800us           0 b           0 b      67.51 Mb       2.00 Kb            10            --  
                                      aten::nll_loss_nd         0.00%      46.000us         0.01%     152.000us      30.400us       0.000us         0.00%       8.000us       1.600us           0 b           0 b       5.00 Kb       1.00 Kb             5            --  
                                               aten::to         0.13%       3.577ms         2.75%      72.802ms     135.069us       0.000us         0.00%       0.000us       0.000us       1.05 Kb          25 b       8.00 Kb         512 b           539            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      88.539ms         2.32%      88.539ms      51.596us           0 b           0 b           0 b           0 b          1716            --  
                                          ProfilerStep*         0.01%     159.000us        92.95%        2.463s     492.662ms       0.000us         0.00%        1.104s     220.779ms       1.19 Kb           0 b           0 b           0 b             5            --  
                                        training_step_3         0.02%     653.000us        22.65%     600.338ms     600.338ms       0.000us         0.00%     246.928ms     246.928ms         832 b           0 b      -1.00 Kb           0 b             1            --  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.03%     723.000us         0.05%       1.321ms     264.200us       0.000us         0.00%       0.000us       0.000us       5.81 Kb           0 b           0 b           0 b             5            --  
                                             aten::full         0.31%       8.234ms         0.57%      14.993ms     241.823us       0.000us         0.00%       4.000us       0.065us       5.81 Kb         896 b       5.50 Kb           0 b            62            --  
                                            aten::fill_         0.38%      10.147ms         0.80%      21.303ms       6.610us     215.125ms         5.64%     215.439ms      66.844us         -16 b         -16 b           0 b           0 b          3223            --  
                                           aten::select         0.03%     894.000us         0.04%       1.089ms       8.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           132            --  
